Location,White,Black,Hispanic,Asian,American Indian or Alaska Native,Native Hawaiian or Pacific Islander,Multiple Races,Total
United States,57.199999999999996,11.600000000000001,19.5,5.8999999999999995,0.5,0.2,5.0,100.0
Alabama,63.6,25.0,5.800000000000001,1.6,0.3,,3.8,100.0
Alaska,57.4,2.3,7.3999999999999995,6.1,14.099999999999998,1.4000000000000001,11.200000000000001,100.0
Arizona,52.300000000000004,4.3999999999999995,31.7,3.5000000000000004,3.1,0.2,4.8,100.0
Arkansas,67.30000000000001,14.099999999999998,9.2,1.7000000000000002,0.4,0.4,7.000000000000001,100.0
California,33.300000000000004,5.0,40.6,15.6,0.3,0.3,5.0,100.0
Colorado,64.7,3.5999999999999996,22.7,3.2,0.3,0.1,5.3,100.0
Connecticut,61.4,9.8,18.7,4.7,0.1,,5.2,100.0
Delaware,58.199999999999996,21.3,11.1,4.3,0.1,,5.1,100.0
District of Columbia,36.7,40.9,12.3,3.8,,,6.3,100.0
Florida,50.3,14.2,27.6,2.9000000000000004,0.1,0.1,4.9,100.0
Georgia,48.8,30.4,11.1,4.5,0.1,0.1,5.0,100.0
Hawaii,19.8,1.4000000000000001,9.8,36.6,,8.9,23.5,100.0
Idaho,78.4,0.8,13.8,1.4000000000000001,0.7000000000000001,,4.9,100.0
Illinois,57.99999999999999,12.8,19.1,6.0,0.1,,4.0,100.0
Indiana,75.2,8.7,8.799999999999999,2.6,0.1,,4.5,100.0
Iowa,82.6,3.5999999999999996,7.3999999999999995,2.3,0.2,0.2,3.6999999999999997,100.0
Kansas,73.0,4.8,13.700000000000001,2.6,0.4,,5.3,100.0
Kentucky,81.89999999999999,7.1,4.8,1.4000000000000001,0.1,0.1,4.6,100.0
Louisiana,56.00000000000001,29.799999999999997,7.1,1.7000000000000002,0.5,,4.9,100.0
Maine,90.0,1.7999999999999998,2.1,0.8999999999999999,0.4,,4.7,100.0
Maryland,46.400000000000006,28.799999999999997,12.7,6.6000000000000005,0.1,,5.4,100.0
Massachusetts,66.2,6.5,13.5,7.199999999999999,0.1,,6.5,100.0
Michigan,72.6,13.0,5.8999999999999995,3.3000000000000003,0.3,,4.8,100.0
Minnesota,75.7,6.800000000000001,6.4,5.2,0.6,,5.2,100.0
Mississippi,55.2,35.5,3.5999999999999996,0.8999999999999999,0.4,,4.3999999999999995,100.0
Missouri,76.8,10.5,5.2,2.0,0.2,0.1,5.1,100.0
Montana,83.89999999999999,0.5,4.6,0.8,5.1,,5.1,100.0
Nebraska,75.2,4.2,13.0,2.6,0.5,,4.5,100.0
Nevada,44.4,8.7,30.0,9.1,0.6,0.7000000000000001,6.6000000000000005,100.0
New Hampshire,86.5,1.2,4.5,2.6,,,4.9,100.0
New Jersey,50.6,11.899999999999999,22.7,10.2,0.1,,4.5,100.0
New Mexico,36.1,1.6,48.699999999999996,1.7000000000000002,8.3,,3.5999999999999996,100.0
New York,52.800000000000004,13.200000000000001,19.900000000000002,9.0,0.2,0.0,4.9,100.0
North Carolina,59.9,19.8,11.4,3.3000000000000003,0.8,0.0,4.8,100.0
North Dakota,81.6,2.6,4.3999999999999995,1.4000000000000001,4.5,,5.4,100.0
Ohio,75.8,11.700000000000001,4.8,2.5,0.1,,5.0,100.0
Oklahoma,61.9,6.4,12.9,2.3,6.7,,9.8,100.0
Oregon,71.0,1.9,14.899999999999999,4.5,0.6,0.4,6.800000000000001,100.0
Pennsylvania,73.0,9.9,8.9,3.9,0.1,,4.3,100.0
Rhode Island,67.60000000000001,4.6,18.2,3.2,,,6.2,100.0
South Carolina,62.0,24.0,7.3999999999999995,1.7000000000000002,0.2,,4.6,100.0
South Dakota,79.60000000000001,2.4,5.0,1.7000000000000002,6.9,,4.3,100.0
Tennessee,71.3,15.0,7.5,1.7999999999999998,0.1,,4.3,100.0
Texas,38.800000000000004,11.799999999999999,40.0,5.6000000000000005,0.1,0.1,3.5999999999999996,100.0
Utah,74.5,1.0,16.0,2.5,0.7000000000000001,0.8999999999999999,4.3999999999999995,100.0
Vermont,89.2,1.3,2.4,1.6,,,5.3,100.0
Virginia,58.3,17.9,11.1,7.000000000000001,0.1,,5.6000000000000005,100.0
Washington,62.5,3.8,14.499999999999998,9.9,0.8,0.7000000000000001,7.8,100.0
West Virginia,90.2,2.6,2.0,0.7000000000000001,,,4.3999999999999995,100.0
Wisconsin,78.7,5.7,8.1,2.9000000000000004,0.5,,4.0,100.0
Wyoming,81.5,0.6,10.7,0.6,1.6,,5.0,100.0
Puerto Rico,0.6,0.1,99.0,,,,0.2,100.0
